term	rank_other	rank_category
limited	627	759
all	215	303
good food	102	180
forget	741	702
chain	1077	705
really good	157	186
dance	101	657
one favorite	266	343
atmosphere	13	39
month	990	1062
much better	923	897
desserts	862	588
it	5	5
asian	740	429
dish	540	85
milk	1068	1044
seemed	535	858
make sure	739	323
great time	625	819
certainly	861	857
number	699	1039
chinese	624	570
you ve	533	959
food always	960	953
peanut	1075	1032
laid	442	1069
good	3	4
environment	265	602
to	303	261
finally	988	625
fun place	532	818
chill	187	734
friendly	79	44
can go wrong	737	659
me	264	236
garden	859	1073
sitting	508	600
far	344	306
dessert	531	327
fat	858	758
choice	811	362
fan	343	326
cook	736	1046
drinking	623	1031
little	29	32
authentic	514	310
food really	857	901
margarita	1072	1030
groups	527	650
entire	986	790
school	622	701
hour	90	229
level	856	812
die	735	445
venue	458	779
friendly staff	530	616
worth it	194	281
leave	457	522
come back	262	478
steakhouse	734	1061
quick	855	167
guy	733	805
servers	481	491
pork	621	177
work	164	153
neighborhood	155	143
favorites	423	534
tea	1071	397
bacon	984	242
steaks	983	772
past	854	704
burger	71	56
second	455	439
cost	807	1037
summer	85	200
go	8	6
fast food	1070	873
eating	853	304
casual	403	493
place good	619	981
drinks	6	38
blue	618	849
what	828	973
cupcakes	1069	635
chicago	14	14
crust	926	213
near	664	554
find	150	134
waiting	850	416
indian	1067	725
goes	731	789
new	261	152
ever	143	89
place great	529	423
filled	454	724
bloody mary	690	957
full	453	247
cozy	402	391
pancakes	981	511
never	50	74
river north	352	575
thin crust	1022	619
water	1021	640
busy	149	222
them	405	398
free	127	174
mac cheese	743	502
others	782	934
alone	1066	1043
yummy	534	446
buy	543	954
strong	526	784
change	980	842
wait	109	33
dry	1013	682
great	1	1
coffee shop	1065	1000
healthy	979	596
items	617	274
vegetarian	978	388
30	525	649
reason	616	459
experience	83	68
french toast	977	615
amount	524	621
cinnamon	1064	900
pick	730	518
usually	302	166
opinion	976	980
entrees	975	745
makes	118	172
options	132	136
fantastic	236	151
love	25	11
guacamole	1063	731
family	769	275
extra	848	514
prefer	847	836
bloody	491	691
brought	1062	824
ask	506	335
worth	34	49
really nice	836	752
meats	615	783
duck	301	458
staple	729	1021
ve	32	23
flavors	846	268
use	845	470
from	973	906
takes	728	715
working	1060	811
food pretty	844	941
wicker	843	771
give	258	210
visit	614	233
two	192	140
next	523	211
live	52	262
ve tried	972	999
call	647	661
crab	971	587
recommend	75	66
worth wait	396	693
chicken	189	46
care	943	782
type	452	633
tell	522	576
more	613	448
can wait	970	912
door	235	409
pretty	36	36
started	842	798
bottle	562	748
great atmosphere	399	551
chocolate	1058	175
downtown	234	499
glass	968	614
really great	521	764
warm	341	379
beers	165	195
best ve	727	1042
excellent	91	61
known	967	778
chef	520	381
glad	966	991
must	299	148
customer	840	881
grill	726	880
bartender	394	744
room	142	185
salad	263	133
this	839	667
feel like	228	558
getting	300	332
best place	838	940
vibe	107	422
reviews	837	1071
soup	340	284
first time	725	456
thin	985	403
always good	339	703
meet	503	656
dining experience	965	998
something	233	146
beautiful	259	527
heart	724	690
crazy	338	708
months	982	634
tap	964	441
plate	582	437
awesome	38	43
floor	135	548
share	519	513
high	154	251
heard	450	684
foods	962	751
way	131	94
salty	1057	867
veggies	1056	1029
want	78	65
times	207	114
brunch	55	76
lamb	961	891
huge	256	128
needs	722	1020
end	214	353
winter	612	737
conversation	440	952
rather	569	729
steak	395	164
comfort	1052	979
small plates	518	939
lounge	82	1052
located	748	442
hot	294	90
party	117	317
option	517	360
toppings	876	476
establishment	449	757
goat	959	532
isn	328	311
fare	718	721
entree	833	823
okay	392	400
tried	297	156
coming	327	252
may	391	337
overall	220	253
dive	516	1041
dish pizza	1055	637
you ll	255	264
mac	611	467
birthday	254	457
vegan	610	463
next time	932	846
date	69	217
salsa	515	762
little bit	702	788
guys	1004	917
everyone	200	218
man	448	974
tomato	717	749
short	716	692
remember	957	666
four	626	850
together	464	673
light	570	557
tapas	956	566
counter	1035	769
lines	296	827
like	20	13
greek	1053	848
sangria	852	882
so	765	411
waitress	609	512
pay	336	517
every	70	88
re looking	390	710
egg	831	434
order	106	52
bartenders	122	536
typical	798	495
cute	714	585
serving	797	1074
mexican	954	209
help	608	938
it great	335	417
top	125	150
soon	607	612
making	451	561
deep dish pizza	1051	645
ended	680	1027
logan	830	1040
including	446	628
looks	713	553
cold	712	452
still	140	126
it good	383	713
perfect	130	117
style	445	201
must try	952	899
ve never	719	545
personal	710	1019
interesting	212	371
ll	139	108
appetizers	334	404
avocado	829	1077
sunday	193	350
actually	333	302
late	148	192
offers	604	658
choose	951	451
savory	1050	972
hidden	512	709
main	709	700
might	642	366
belly	565	697
good place	332	364
wouldn	826	606
coffee	784	50
someone	662	631
return	602	777
combination	601	888
dim	600	1070
gets	229	297
well worth	825	822
cupcake	1049	927
lunch	444	63
starbucks	948	997
they	293	193
hands	708	510
not	707	542
bar	7	16
wicker park	824	816
now	706	714
day	74	95
bread	705	219
easily	704	815
several	389	466
name	823	498
potatoes	1037	578
reasonably	599	488
didn	292	182
events	331	835
filling	947	644
good time	253	865
stopped	822	1076
reasonable	821	331
rock	330	996
found	291	415
went	113	77
pizza	252	22
side	361	129
mean	511	879
heavy	820	804
el	1048	1018
square	946	599
upstairs	279	636
wrong	326	298
house	211	293
fish	388	271
hard	387	295
ambiance	210	349
idea	598	990
group	159	204
sports bar	597	1036
used	250	419
expect	596	309
great place go	510	1035
year	443	730
girl	1047	834
thing	337	190
salads	819	497
event	329	699
ice cream	864	370
out	65	135
place get	631	716
specials	217	214
opened	945	803
plan	373	904
quality	290	138
since	385	199
lunch dinner	818	989
looking	59	163
re	49	45
seriously	738	746
got	163	104
get	9	7
pretty good	209	256
red	701	347
shows	595	958
food great	289	187
spot	40	51
friday	208	521
given	509	890
pub	594	565
standard	568	523
pleasant	817	1008
grilled	593	472
completely	944	988
put	592	428
wanted	700	508
greasy	1059	810
unique	184	223
ate	591	797
couldn	441	689
selections	816	926
waiter	942	581
could	177	125
area	73	80
days	384	648
keep	257	413
love it	720	817
american	590	579
would go	505	802
yum	1046	624
ve ever had	644	754
margaritas	1012	535
loud	129	319
think	137	109
south	1045	678
first	175	97
cheese	152	62
dine	1044	801
hands down	814	1060
dont	605	866
feel	64	130
taco	958	396
veggie	865	490
fancy	288	677
one	18	10
lettuce	941	978
river	87	425
done	813	376
spots	410	694
another	231	290
wasn	249	269
owner	703	595
art	679	946
thick	1043	937
miss	507	421
size	698	504
take	124	93
city	37	57
guess	697	919
long	88	110
service	17	8
spinach	1042	893
gourmet	940	995
even better	589	905
bite	939	378
night	11	37
least	382	354
anyone	438	524
wonderful	287	234
ton	938	911
too	99	100
stuffed	810	720
time	21	19
white	502	547
perfectly	696	485
really	19	12
dogs	1041	580
store	1040	683
stars	732	601
mostly	809	1051
that	162	111
can go	695	623
park	374	226
took	285	363
part	381	387
burrito	1039	736
thai	1038	238
believe	588	864
haven	191	528
wide	788	869
kind	379	245
15	434	687
great beer	500	541
double	1036	936
